DATA_MC|KOD_WOJ|NAME|PLEC|WIEK|KOD_UPRAWNIENIA|LICZBA
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|B+E|8
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|B1|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|C|11
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|C1|11
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|C1+E|7
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|25|C|5
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|25|A2|26
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|25|A|29
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|25|B|24
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|25|C1|5
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|25|AM|25
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|25|T|8
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|25|C1+E|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|25|C+E|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|25|B1|25
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|25|A1|26
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|25|B+E|8
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|A1|14
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|D1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|C1|14
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|B|18
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|AM|18
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|A|16
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|C+E|13
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|B1|18
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|C|14
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|B+E|13
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|C1+E|13
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|D|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|A2|13
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|26|T|13
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|27|A|17
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|27|C1+E|6
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|27|T|8
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|27|B+E|11
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|27|C+E|6
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|27|D|2
